x,y
-559.45,168.55
-559.45,163.55
-559.45,158.55
-559.45,153.55
-559.45,148.54
-559.45,143.54
-559.45,138.54
-559.45,133.54
-559.45,128.54
-559.45,123.53
-559.45,118.53
-559.45,113.53
-559.45,108.53
-559.45,103.53
-559.45,98.52
-559.45,93.52
-559.45,88.52
-559.45,83.52
-559.45,78.52
-559.45,73.51
-559.45,68.51
-559.45,63.51
-559.45,58.51
-559.45,53.51
-559.45,48.5
-559.45,43.5
-559.45,38.5
-559.45,33.5
-559.45,28.5
-559.45,23.49
-556.57,21.37
-551.56,21.37
-546.56,21.37
-541.56,21.37
-536.56,21.37
-531.56,21.37
-526.55,21.37
-521.55,21.37
-516.55,21.37
-511.55,21.37
-506.55,21.37
-501.54,21.37
-496.54,21.37
-491.54,21.37
-486.54,21.37
-481.54,21.37
-476.53,21.37
-471.53,21.37
-466.53,21.37
-461.53,21.37
-456.53,21.37
-451.52,21.37
-446.52,21.37
-441.52,21.37
-440.08,17.81
-440.08,12.81
-440.08,7.81
-440.08,2.81
-441.96,-0.31
-446.96,-0.31
-451.97,-0.31
-456.97,-0.31
-461.97,-0.31
-466.97,-0.31
-471.97,-0.31
-476.98,-0.31
-481.98,-0.31
-486.98,-0.31
-491.98,-0.31
-496.98,-0.31
-501.99,-0.31
-506.99,-0.31
-511.99,-0.31
-516.99,-0.31
-521.99,-0.31
-527,-0.31
-532,-0.31
-537,-0.31
-542,-0.31
-547,-0.31
-552.01,-0.31
-557.01,-0.31
-559.45,-2.87
-559.45,-7.87
-559.45,-12.88
-559.45,-17.88
-559.45,-22.88
-559.45,-27.88
-559.45,-32.88
-559.45,-37.89
-559.45,-42.89
-559.45,-47.89
-559.45,-52.89
-559.45,-57.89
-559.45,-62.9
-559.45,-67.9
-559.45,-72.9
-559.45,-77.9
-559.45,-82.9
-559.45,-87.91
-559.45,-92.91
-559.45,-97.91
-559.45,-102.91
-559.45,-107.91
-559.45,-112.92
-559.45,-117.92
-559.45,-122.92
-559.45,-127.92
-559.45,-132.92
-559.45,-137.93
-559.45,-142.93
-559.45,-147.93
-559.45,-152.93
-559.45,-157.93
-559.45,-162.94
-554.88,-163.37
-549.88,-163.37
-544.88,-163.37
-539.88,-163.37
-534.87,-163.37
-529.87,-163.37
-524.87,-163.37
-519.87,-163.37
-514.87,-163.37
-509.86,-163.37
-504.86,-163.37
-499.86,-163.37
-494.86,-163.37
-489.86,-163.37
