x,y
537.16,141.09
537.16,131.71
537.16,122.34
537.16,103.59
537.16,94.21
537.16,75.46
527.79,141.09
527.79,131.71
527.79,122.34
527.79,112.96
527.79,103.59
527.79,94.21
527.79,84.84
527.79,75.46
518.41,141.09
518.41,131.71
518.41,122.34
518.41,112.96
518.41,103.59
518.41,94.21
518.41,84.84
518.41,75.46
509.04,141.09
509.04,131.71
509.04,122.34
509.04,112.96
509.04,103.59
509.04,94.21
509.04,84.84
509.04,75.46
499.66,141.09
499.66,131.71
499.66,122.34
499.66,112.96
499.66,103.59
499.66,94.21
499.66,84.84
499.66,75.46
490.29,141.09
490.29,131.71
490.29,122.34
490.29,112.96
490.29,103.59
490.29,94.21
490.29,84.84
490.29,75.46
480.91,141.09
480.91,131.71
480.91,122.34
480.91,112.96
480.91,103.59
480.91,94.21
480.91,84.84
480.91,75.46
471.54,141.09
471.54,131.71
471.54,122.34
471.54,112.96
471.54,103.59
471.54,94.21
471.54,84.84
471.54,75.46
462.16,141.09
462.16,131.71
462.16,122.34
462.16,112.96
462.16,103.59
462.16,94.21
462.16,84.84
462.16,75.46
452.79,141.09
452.79,131.71
452.79,122.34
452.79,112.96
452.79,103.59
452.79,94.21
452.79,75.46
443.41,141.09
434.04,141.09
424.66,141.09
415.29,141.09
406.06,141.09
396.68,141.09
387.31,141.09
377.93,141.09
368.56,141.09
359.18,141.09
349.81,141.09
340.43,141.09
331.06,141.09
321.68,141.09
313.11,141.09
303.73,141.09
443.41,131.71
434.04,131.71
424.66,131.71
415.29,131.71
406.06,131.71
396.68,131.71
387.31,131.71
377.93,131.71
368.56,131.71
359.18,131.71
349.81,131.71
340.43,131.71
331.06,131.71
321.68,131.71
313.11,131.71
303.73,131.71
443.41,122.34
434.04,122.34
424.66,122.34
415.29,122.34
406.06,122.34
396.68,122.34
387.31,122.34
377.93,122.34
368.56,122.34
359.18,122.34
349.81,122.34
340.43,122.34
331.06,122.34
321.68,122.34
313.11,122.34
303.73,122.34
443.41,112.96
434.04,112.96
424.66,112.96
415.29,112.96
406.06,112.96
396.68,112.96
387.31,112.96
377.93,112.96
368.56,112.96
359.18,112.96
349.81,112.96
340.43,112.96
331.06,112.96
321.68,112.96
313.11,112.96
303.73,112.96
443.41,103.59
434.04,103.59
424.66,103.59
415.29,103.59
406.06,103.59
396.68,103.59
387.31,103.59
377.93,103.59
368.56,103.59
359.18,103.59
349.81,103.59
340.43,103.59
331.06,103.59
321.68,103.59
313.11,103.59
303.73,103.59
443.41,94.21
434.04,94.21
424.66,94.21
415.29,94.21
406.06,94.21
396.68,94.21
387.31,94.21
377.93,94.21
368.56,94.21
359.18,94.21
349.81,94.21
340.43,94.21
331.06,94.21
321.68,94.21
313.11,94.21
303.73,94.21
443.41,84.84
434.04,84.84
424.66,84.84
415.29,84.84
406.06,84.84
396.68,84.84
387.31,84.84
377.93,84.84
368.56,84.84
359.18,84.84
349.81,84.84
340.43,84.84
331.06,84.84
321.68,84.84
313.11,84.84
303.73,84.84
443.41,75.46
434.04,75.46
424.66,75.46
415.29,75.46
406.06,75.46
396.68,75.46
387.31,75.46
377.93,75.46
368.56,75.46
359.18,75.46
349.81,75.46
340.43,75.46
331.06,75.46
321.68,75.46
313.11,75.46
303.73,75.46
443.41,66.09
434.04,66.09
424.66,66.09
415.29,66.09
406.06,66.09
396.68,66.09
387.31,66.09
377.93,66.09
368.56,66.09
359.18,66.09
349.81,66.09
340.43,66.09
331.06,66.09
321.68,66.09
313.11,66.09
303.73,66.09
480.91,0.46
480.91,-8.91
480.91,-18.29
480.91,-27.66
480.91,-37.04
480.91,-46.41
480.91,-55.79
480.91,-65.16
480.91,-74.54
480.91,-83.91
471.54,0.46
471.54,-8.91
471.54,-18.29
471.54,-27.66
471.54,-37.04
471.54,-46.41
471.54,-55.79
471.54,-65.16
471.54,-74.54
471.54,-83.91
462.16,0.46
462.16,-8.91
462.16,-18.29
462.16,-27.66
462.16,-37.04
462.16,-46.41
462.16,-55.79
